Workflow,Distribution,Error,NumberNodes,ClusterSeed,Scheduler,Runtime,c5.2xlarge,c5.xlarge,c5a.2xlarge,c5a.xlarge,d3.2xlarge,d3.xlarge,i3.2xlarge,i3.large,i3.xlarge,m5.2xlarge,m5.large,m5.xlarge,m5a.2xlarge,m5a.large,m5a.xlarge,m5zn.2xlarge,m5zn.large,m5zn.xlarge,r5.2xlarge,r5.large,r5.xlarge,r5a.2xlarge,r5a.large,r5a.xlarge,z1d.2xlarge,z1d.large,z1d.xlarge,Nodes,Cluster
chipseq,exponential,0.15,40,0,MINMIN,497.51,0, 5, 13, 11, 9, 3, 1, 1, 0, 3, 2, 3, 2, 0, 3, 13, 0, 6, 0, 1, 3, 6, 4, 3, 0, 0, 6,{c5.2xlarge=0; c5.xlarge=5; c5a.2xlarge=13; c5a.xlarge=11; d3.2xlarge=9; d3.xlarge=3; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=3; m5.large=2; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=3; m5zn.2xlarge=13; m5zn.large=0; m5zn.xlarge=6; r5.2xlarge=0; r5.large=1; r5.xlarge=3; r5a.2xlarge=6; r5a.large=4; r5a.xlarge=3; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=6},{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=3; c5a.xlarge=2; d3.2xlarge=3; d3.xlarge=2; i3.2xlarge=1; i3.large=1; i3.xlarge=0; m5.2xlarge=2; m5.large=1; m5.xlarge=3; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=1; r5.2xlarge=0; r5.large=1; r5.xlarge=2; r5a.2xlarge=3; r5a.large=3; r5a.xlarge=2; z1d.2xlarge=0; z1d.large=0; z1d.xlarge=1}
chipseq,exponential,0.15,40,143,TEXTDISTANCE,548.8199999999999,10, 6, 9, 0, 2, 5, 2, 6, 7, 0, 0, 10, 3, 0, 3, 0, 7, 0, 0, 5, 14, 0, 0, 1, 0, 4, 4,{c5.2xlarge=10; c5.xlarge=6; c5a.2xlarge=9; c5a.xlarge=0; d3.2xlarge=2; d3.xlarge=5; i3.2xlarge=2; i3.large=6; i3.xlarge=7; m5.2xlarge=0; m5.large=0; m5.xlarge=10; m5a.2xlarge=3; m5a.large=0; m5a.xlarge=3; m5zn.2xlarge=0; m5zn.large=7; m5zn.xlarge=0; r5.2xlarge=0; r5.large=5; r5.xlarge=14; r5a.2xlarge=0; r5a.large=0; r5a.xlarge=1; z1d.2xlarge=0; z1d.large=4; z1d.xlarge=4},{c5.2xlarge=2; c5.xlarge=2; c5a.2xlarge=2; c5a.xlarge=0; d3.2xlarge=1; d3.xlarge=2; i3.2xlarge=2; i3.large=3; i3.xlarge=4; m5.2xlarge=0; m5.large=0; m5.xlarge=2; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=3; m5zn.2xlarge=0; m5zn.large=3; m5zn.xlarge=0; r5.2xlarge=0; r5.large=2; r5.xlarge=4; r5a.2xlarge=0; r5a.large=0; r5a.xlarge=3; z1d.2xlarge=0; z1d.large=1; z1d.xlarge=2}
chipseq,exponential,0.15,40,143,CRITICALPATH,696.6499999999999,8, 4, 8, 0, 3, 4, 5, 7, 7, 0, 0, 6, 2, 0, 5, 0, 13, 0, 0, 2, 10, 0, 0, 8, 0, 2, 4,{c5.2xlarge=8; c5.xlarge=4; c5a.2xlarge=8; c5a.xlarge=0; d3.2xlarge=3; d3.xlarge=4; i3.2xlarge=5; i3.large=7; i3.xlarge=7; m5.2xlarge=0; m5.large=0; m5.xlarge=6; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=5; m5zn.2xlarge=0; m5zn.large=13; m5zn.xlarge=0; r5.2xlarge=0; r5.large=2; r5.xlarge=10; r5a.2xlarge=0; r5a.large=0; r5a.xlarge=8; z1d.2xlarge=0; z1d.large=2; z1d.xlarge=4},{c5.2xlarge=2; c5.xlarge=2; c5a.2xlarge=2; c5a.xlarge=0; d3.2xlarge=1; d3.xlarge=2; i3.2xlarge=2; i3.large=3; i3.xlarge=4; m5.2xlarge=0; m5.large=0; m5.xlarge=2; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=3; m5zn.2xlarge=0; m5zn.large=3; m5zn.xlarge=0; r5.2xlarge=0; r5.large=2; r5.xlarge=4; r5a.2xlarge=0; r5a.large=0; r5a.xlarge=3; z1d.2xlarge=0; z1d.large=1; z1d.xlarge=2}
chipseq,exponential,0.15,40,143,CRITICALPATHREVERSE,545.79,10, 7, 8, 0, 3, 6, 1, 3, 3, 0, 0, 3, 3, 0, 5, 0, 16, 0, 0, 5, 7, 0, 0, 4, 0, 5, 9,{c5.2xlarge=10; c5.xlarge=7; c5a.2xlarge=8; c5a.xlarge=0; d3.2xlarge=3; d3.xlarge=6; i3.2xlarge=1; i3.large=3; i3.xlarge=3; m5.2xlarge=0; m5.large=0; m5.xlarge=3; m5a.2xlarge=3; m5a.large=0; m5a.xlarge=5; m5zn.2xlarge=0; m5zn.large=16; m5zn.xlarge=0; r5.2xlarge=0; r5.large=5; r5.xlarge=7; r5a.2xlarge=0; r5a.large=0; r5a.xlarge=4; z1d.2xlarge=0; z1d.large=5; z1d.xlarge=9},{c5.2xlarge=2; c5.xlarge=2; c5a.2xlarge=2; c5a.xlarge=0; d3.2xlarge=1; d3.xlarge=2; i3.2xlarge=2; i3.large=3; i3.xlarge=4; m5.2xlarge=0; m5.large=0; m5.xlarge=2; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=3; m5zn.2xlarge=0; m5zn.large=3; m5zn.xlarge=0; r5.2xlarge=0; r5.large=2; r5.xlarge=4; r5a.2xlarge=0; r5a.large=0; r5a.xlarge=3; z1d.2xlarge=0; z1d.large=1; z1d.xlarge=2}
chipseq,exponential,0.15,40,143,RESHIV2,549.81,8, 4, 8, 0, 2, 5, 2, 4, 8, 0, 0, 8, 4, 0, 3, 0, 15, 0, 0, 8, 9, 0, 0, 4, 0, 2, 4,{c5.2xlarge=8; c5.xlarge=4; c5a.2xlarge=8; c5a.xlarge=0; d3.2xlarge=2; d3.xlarge=5; i3.2xlarge=2; i3.large=4; i3.xlarge=8; m5.2xlarge=0; m5.large=0; m5.xlarge=8; m5a.2xlarge=4; m5a.large=0; m5a.xlarge=3; m5zn.2xlarge=0; m5zn.large=15; m5zn.xlarge=0; r5.2xlarge=0; r5.large=8; r5.xlarge=9; r5a.2xlarge=0; r5a.large=0; r5a.xlarge=4; z1d.2xlarge=0; z1d.large=2; z1d.xlarge=4},{c5.2xlarge=2; c5.xlarge=2; c5a.2xlarge=2; c5a.xlarge=0; d3.2xlarge=1; d3.xlarge=2; i3.2xlarge=2; i3.large=3; i3.xlarge=4; m5.2xlarge=0; m5.large=0; m5.xlarge=2; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=3; m5zn.2xlarge=0; m5zn.large=3; m5zn.xlarge=0; r5.2xlarge=0; r5.large=2; r5.xlarge=4; r5a.2xlarge=0; r5a.large=0; r5a.xlarge=3; z1d.2xlarge=0; z1d.large=1; z1d.xlarge=2}
chipseq,exponential,0.15,40,143,RESHIV3,532.02,8, 4, 9, 0, 2, 6, 3, 3, 5, 0, 0, 5, 4, 0, 5, 0, 13, 0, 0, 8, 8, 0, 0, 8, 0, 3, 4,{c5.2xlarge=8; c5.xlarge=4; c5a.2xlarge=9; c5a.xlarge=0; d3.2xlarge=2; d3.xlarge=6; i3.2xlarge=3; i3.large=3; i3.xlarge=5; m5.2xlarge=0; m5.large=0; m5.xlarge=5; m5a.2xlarge=4; m5a.large=0; m5a.xlarge=5; m5zn.2xlarge=0; m5zn.large=13; m5zn.xlarge=0; r5.2xlarge=0; r5.large=8; r5.xlarge=8; r5a.2xlarge=0; r5a.large=0; r5a.xlarge=8; z1d.2xlarge=0; z1d.large=3; z1d.xlarge=4},{c5.2xlarge=2; c5.xlarge=2; c5a.2xlarge=2; c5a.xlarge=0; d3.2xlarge=1; d3.xlarge=2; i3.2xlarge=2; i3.large=3; i3.xlarge=4; m5.2xlarge=0; m5.large=0; m5.xlarge=2; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=3; m5zn.2xlarge=0; m5zn.large=3; m5zn.xlarge=0; r5.2xlarge=0; r5.large=2; r5.xlarge=4; r5a.2xlarge=0; r5a.large=0; r5a.xlarge=3; z1d.2xlarge=0; z1d.large=1; z1d.xlarge=2}
chipseq,exponential,0.15,40,143,RESHIMAX,544.0,8, 7, 6, 0, 3, 6, 2, 5, 7, 0, 0, 7, 3, 0, 2, 0, 11, 0, 0, 5, 10, 0, 0, 7, 0, 2, 7,{c5.2xlarge=8; c5.xlarge=7; c5a.2xlarge=6; c5a.xlarge=0; d3.2xlarge=3; d3.xlarge=6; i3.2xlarge=2; i3.large=5; i3.xlarge=7; m5.2xlarge=0; m5.large=0; m5.xlarge=7; m5a.2xlarge=3; m5a.large=0; m5a.xlarge=2; m5zn.2xlarge=0; m5zn.large=11; m5zn.xlarge=0; r5.2xlarge=0; r5.large=5; r5.xlarge=10; r5a.2xlarge=0; r5a.large=0; r5a.xlarge=7; z1d.2xlarge=0; z1d.large=2; z1d.xlarge=7},{c5.2xlarge=2; c5.xlarge=2; c5a.2xlarge=2; c5a.xlarge=0; d3.2xlarge=1; d3.xlarge=2; i3.2xlarge=2; i3.large=3; i3.xlarge=4; m5.2xlarge=0; m5.large=0; m5.xlarge=2; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=3; m5zn.2xlarge=0; m5zn.large=3; m5zn.xlarge=0; r5.2xlarge=0; r5.large=2; r5.xlarge=4; r5a.2xlarge=0; r5a.large=0; r5a.xlarge=3; z1d.2xlarge=0; z1d.large=1; z1d.xlarge=2}
chipseq,exponential,0.15,40,143,RESHIFCFS,482.14,8, 6, 8, 0, 4, 5, 3, 7, 6, 0, 0, 3, 3, 0, 0, 0, 16, 0, 0, 8, 6, 0, 0, 3, 0, 4, 8,{c5.2xlarge=8; c5.xlarge=6; c5a.2xlarge=8; c5a.xlarge=0; d3.2xlarge=4; d3.xlarge=5; i3.2xlarge=3; i3.large=7; i3.xlarge=6; m5.2xlarge=0; m5.large=0; m5.xlarge=3; m5a.2xlarge=3; m5a.large=0; m5a.xlarge=0; m5zn.2xlarge=0; m5zn.large=16; m5zn.xlarge=0; r5.2xlarge=0; r5.large=8; r5.xlarge=6; r5a.2xlarge=0; r5a.large=0; r5a.xlarge=3; z1d.2xlarge=0; z1d.large=4; z1d.xlarge=8},{c5.2xlarge=2; c5.xlarge=2; c5a.2xlarge=2; c5a.xlarge=0; d3.2xlarge=1; d3.xlarge=2; i3.2xlarge=2; i3.large=3; i3.xlarge=4; m5.2xlarge=0; m5.large=0; m5.xlarge=2; m5a.2xlarge=2; m5a.large=0; m5a.xlarge=3; m5zn.2xlarge=0; m5zn.large=3; m5zn.xlarge=0; r5.2xlarge=0; r5.large=2; r5.xlarge=4; r5a.2xlarge=0; r5a.large=0; r5a.xlarge=3; z1d.2xlarge=0; z1d.large=1; z1d.xlarge=2}
chipseq,exponential,0.15,40,144,MINMIN,355.3299999999999,0, 2, 9, 8, 1, 0, 3, 2, 2, 7, 0, 3, 6, 2, 0, 5, 0, 16, 4, 6, 2, 1, 1, 0, 7, 4, 7,{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=9; c5a.xlarge=8; d3.2xlarge=1; d3.xlarge=0; i3.2xlarge=3; i3.large=2; i3.xlarge=2; m5.2xlarge=7; m5.large=0; m5.xlarge=3; m5a.2xlarge=6; m5a.large=2; m5a.xlarge=0; m5zn.2xlarge=5; m5zn.large=0; m5zn.xlarge=16; r5.2xlarge=4; r5.large=6; r5.xlarge=2; r5a.2xlarge=1; r5a.large=1; r5a.xlarge=0; z1d.2xlarge=7; z1d.large=4; z1d.xlarge=7},{c5.2xlarge=0; c5.xlarge=1; c5a.2xlarge=2; c5a.xlarge=2; d3.2xlarge=1; d3.xlarge=0; i3.2xlarge=2; i3.large=1; i3.xlarge=3; m5.2xlarge=4; m5.large=0; m5.xlarge=1; m5a.2xlarge=4; m5a.large=2; m5a.xlarge=0; m5zn.2xlarge=1; m5zn.large=0; m5zn.xlarge=2; r5.2xlarge=2; r5.large=2; r5.xlarge=1; r5a.2xlarge=1; r5a.large=1; r5a.xlarge=0; z1d.2xlarge=3; z1d.large=2; z1d.xlarge=2}
chipseq,exponential,0.15,40,144,MAXMIN,525.48,0, 6, 12, 7, 2, 0, 4, 0, 3, 9, 0, 4, 6, 3, 0, 3, 0, 9, 4, 2, 2, 1, 1, 0, 7, 9, 4,{c5.2xlarge=0; c5.xlarge=6; c5a.2xlarge=12; c5a.xlarge=7; d3.2xlarge=2; d3.xlarge=0; i3.2xlarge=4; i3.large=0; i3.xlarge=3; m5.2xlarge=9; m5.large=0; m5.xlarge=4; m5a.2xlarge=6; m5a.large=3; m5a.xlarge=0; m5zn.2xlarge=3; m5zn.large=0; m5zn.xlarge=9; r5.2xlarge=4; r5.large=2; r5.xlarge=2; r5a.2xlarge=1; r5a.large=1; r5a.xlarge=0; z1d.2xlarge=7; z1d.large=9; z1d.xlarge=4},{c5.2xlarge=0; c5.xlarge=1; c5a.2xlarge=2; c5a.xlarge=2; d3.2xlarge=1; d3.xlarge=0; i3.2xlarge=2; i3.large=1; i3.xlarge=3; m5.2xlarge=4; m5.large=0; m5.xlarge=1; m5a.2xlarge=4; m5a.large=2; m5a.xlarge=0; m5zn.2xlarge=1; m5zn.large=0; m5zn.xlarge=2; r5.2xlarge=2; r5.large=2; r5.xlarge=1; r5a.2xlarge=1; r5a.large=1; r5a.xlarge=0; z1d.2xlarge=3; z1d.large=2; z1d.xlarge=2}
chipseq,exponential,0.15,40,144,MCT,410.31999999999994,0, 4, 7, 9, 2, 0, 3, 1, 4, 8, 0, 2, 5, 2, 0, 4, 0, 11, 2, 2, 2, 0, 2, 0, 12, 10, 6,{c5.2xlarge=0; c5.xlarge=4; c5a.2xlarge=7; c5a.xlarge=9; d3.2xlarge=2; d3.xlarge=0; i3.2xlarge=3; i3.large=1; i3.xlarge=4; m5.2xlarge=8; m5.large=0; m5.xlarge=2; m5a.2xlarge=5; m5a.large=2; m5a.xlarge=0; m5zn.2xlarge=4; m5zn.large=0; m5zn.xlarge=11; r5.2xlarge=2; r5.large=2; r5.xlarge=2; r5a.2xlarge=0; r5a.large=2; r5a.xlarge=0; z1d.2xlarge=12; z1d.large=10; z1d.xlarge=6},{c5.2xlarge=0; c5.xlarge=1; c5a.2xlarge=2; c5a.xlarge=2; d3.2xlarge=1; d3.xlarge=0; i3.2xlarge=2; i3.large=1; i3.xlarge=3; m5.2xlarge=4; m5.large=0; m5.xlarge=1; m5a.2xlarge=4; m5a.large=2; m5a.xlarge=0; m5zn.2xlarge=1; m5zn.large=0; m5zn.xlarge=2; r5.2xlarge=2; r5.large=2; r5.xlarge=1; r5a.2xlarge=1; r5a.large=1; r5a.xlarge=0; z1d.2xlarge=3; z1d.large=2; z1d.xlarge=2}
chipseq,exponential,0.15,40,144,ROUNDROBIN,547.4499999999999,0, 1, 2, 11, 5, 0, 5, 2, 5, 9, 0, 2, 5, 5, 0, 1, 0, 12, 1, 3, 5, 0, 4, 0, 8, 7, 5,{c5.2xlarge=0; c5.xlarge=1; c5a.2xlarge=2; c5a.xlarge=11; d3.2xlarge=5; d3.xlarge=0; i3.2xlarge=5; i3.large=2; i3.xlarge=5; m5.2xlarge=9; m5.large=0; m5.xlarge=2; m5a.2xlarge=5; m5a.large=5; m5a.xlarge=0; m5zn.2xlarge=1; m5zn.large=0; m5zn.xlarge=12; r5.2xlarge=1; r5.large=3; r5.xlarge=5; r5a.2xlarge=0; r5a.large=4; r5a.xlarge=0; z1d.2xlarge=8; z1d.large=7; z1d.xlarge=5},{c5.2xlarge=0; c5.xlarge=1; c5a.2xlarge=2; c5a.xlarge=2; d3.2xlarge=1; d3.xlarge=0; i3.2xlarge=2; i3.large=1; i3.xlarge=3; m5.2xlarge=4; m5.large=0; m5.xlarge=1; m5a.2xlarge=4; m5a.large=2; m5a.xlarge=0; m5zn.2xlarge=1; m5zn.large=0; m5zn.xlarge=2; r5.2xlarge=2; r5.large=2; r5.xlarge=1; r5a.2xlarge=1; r5a.large=1; r5a.xlarge=0; z1d.2xlarge=3; z1d.large=2; z1d.xlarge=2}
chipseq,exponential,0.15,40,144,STATIC,601.2199999999999,0, 4, 7, 7, 1, 0, 2, 1, 2, 8, 0, 3, 7, 3, 0, 5, 0, 12, 3, 7, 1, 2, 1, 0, 9, 6, 7,{c5.2xlarge=0; c5.xlarge=4; c5a.2xlarge=7; c5a.xlarge=7; d3.2xlarge=1; d3.xlarge=0; i3.2xlarge=2; i3.large=1; i3.xlarge=2; m5.2xlarge=8; m5.large=0; m5.xlarge=3; m5a.2xlarge=7; m5a.large=3; m5a.xlarge=0; m5zn.2xlarge=5; m5zn.large=0; m5zn.xlarge=12; r5.2xlarge=3; r5.large=7; r5.xlarge=1; r5a.2xlarge=2; r5a.large=1; r5a.xlarge=0; z1d.2xlarge=9; z1d.large=6; z1d.xlarge=7},{c5.2xlarge=0; c5.xlarge=1; c5a.2xlarge=2; c5a.xlarge=2; d3.2xlarge=1; d3.xlarge=0; i3.2xlarge=2; i3.large=1; i3.xlarge=3; m5.2xlarge=4; m5.large=0; m5.xlarge=1; m5a.2xlarge=4; m5a.large=2; m5a.xlarge=0; m5zn.2xlarge=1; m5zn.large=0; m5zn.xlarge=2; r5.2xlarge=2; r5.large=2; r5.xlarge=1; r5a.2xlarge=1; r5a.large=1; r5a.xlarge=0; z1d.2xlarge=3; z1d.large=2; z1d.xlarge=2}
chipseq,exponential,0.15,40,144,NOML,449.88999999999993,0, 6, 9, 9, 0, 0, 2, 1, 1, 8, 0, 2, 11, 3, 0, 4, 0, 4, 6, 7, 2, 1, 2, 0, 9, 6, 5,{c5.2xlarge=0; c5.xlarge=6; c5a.2xlarge=9; c5a.xlarge=9; d3.2xlarge=0; d3.xlarge=0; i3.2xlarge=2; i3.large=1; i3.xlarge=1; m5.2xlarge=8; m5.large=0; m5.xlarge=2; m5a.2xlarge=11; m5a.large=3; m5a.xlarge=0; m5zn.2xlarge=4; m5zn.large=0; m5zn.xlarge=4; r5.2xlarge=6; r5.large=7; r5.xlarge=2; r5a.2xlarge=1; r5a.large=2; r5a.xlarge=0; z1d.2xlarge=9; z1d.large=6; z1d.xlarge=5},{c5.2xlarge=0; c5.xlarge=1; c5a.2xlarge=2; c5a.xlarge=2; d3.2xlarge=1; d3.xlarge=0; i3.2xlarge=2; i3.large=1; i3.xlarge=3; m5.2xlarge=4; m5.large=0; m5.xlarge=1; m5a.2xlarge=4; m5a.large=2; m5a.xlarge=0; m5zn.2xlarge=1; m5zn.large=0; m5zn.xlarge=2; r5.2xlarge=2; r5.large=2; r5.xlarge=1; r5a.2xlarge=1; r5a.large=1; r5a.xlarge=0; z1d.2xlarge=3; z1d.large=2; z1d.xlarge=2}
chipseq,exponential,0.15,40,144,CUSTOMCLUSTERNOML,525.8999999999999,0, 2, 8, 6, 4, 0, 3, 1, 3, 8, 0, 2, 3, 5, 0, 4, 0, 5, 7, 7, 1, 2, 1, 0, 12, 8, 6,{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=8; c5a.xlarge=6; d3.2xlarge=4; d3.xlarge=0; i3.2xlarge=3; i3.large=1; i3.xlarge=3; m5.2xlarge=8; m5.large=0; m5.xlarge=2; m5a.2xlarge=3; m5a.large=5; m5a.xlarge=0; m5zn.2xlarge=4; m5zn.large=0; m5zn.xlarge=5; r5.2xlarge=7; r5.large=7; r5.xlarge=1; r5a.2xlarge=2; r5a.large=1; r5a.xlarge=0; z1d.2xlarge=12; z1d.large=8; z1d.xlarge=6},{c5.2xlarge=0; c5.xlarge=1; c5a.2xlarge=2; c5a.xlarge=2; d3.2xlarge=1; d3.xlarge=0; i3.2xlarge=2; i3.large=1; i3.xlarge=3; m5.2xlarge=4; m5.large=0; m5.xlarge=1; m5a.2xlarge=4; m5a.large=2; m5a.xlarge=0; m5zn.2xlarge=1; m5zn.large=0; m5zn.xlarge=2; r5.2xlarge=2; r5.large=2; r5.xlarge=1; r5a.2xlarge=1; r5a.large=1; r5a.xlarge=0; z1d.2xlarge=3; z1d.large=2; z1d.xlarge=2}
chipseq,exponential,0.15,40,144,TEXTDISTANCE,419.7799999999999,0, 4, 9, 8, 1, 0, 4, 3, 4, 16, 0, 6, 3, 4, 0, 4, 0, 6, 4, 3, 3, 2, 2, 0, 7, 2, 3,{c5.2xlarge=0; c5.xlarge=4; c5a.2xlarge=9; c5a.xlarge=8; d3.2xlarge=1; d3.xlarge=0; i3.2xlarge=4; i3.large=3; i3.xlarge=4; m5.2xlarge=16; m5.large=0; m5.xlarge=6; m5a.2xlarge=3; m5a.large=4; m5a.xlarge=0; m5zn.2xlarge=4; m5zn.large=0; m5zn.xlarge=6; r5.2xlarge=4; r5.large=3; r5.xlarge=3; r5a.2xlarge=2; r5a.large=2; r5a.xlarge=0; z1d.2xlarge=7; z1d.large=2; z1d.xlarge=3},{c5.2xlarge=0; c5.xlarge=1; c5a.2xlarge=2; c5a.xlarge=2; d3.2xlarge=1; d3.xlarge=0; i3.2xlarge=2; i3.large=1; i3.xlarge=3; m5.2xlarge=4; m5.large=0; m5.xlarge=1; m5a.2xlarge=4; m5a.large=2; m5a.xlarge=0; m5zn.2xlarge=1; m5zn.large=0; m5zn.xlarge=2; r5.2xlarge=2; r5.large=2; r5.xlarge=1; r5a.2xlarge=1; r5a.large=1; r5a.xlarge=0; z1d.2xlarge=3; z1d.large=2; z1d.xlarge=2}
chipseq,exponential,0.15,40,144,CRITICALPATH,488.34999999999997,0, 2, 8, 10, 2, 0, 4, 3, 8, 6, 0, 2, 4, 6, 0, 4, 0, 7, 6, 5, 2, 1, 2, 0, 8, 4, 4,{c5.2xlarge=0; c5.xlarge=2; c5a.2xlarge=8; c5a.xlarge=10; d3.2xlarge=2; d3.xlarge=0; i3.2xlarge=4; i3.large=3; i3.xlarge=8; m5.2xlarge=6; m5.large=0; m5.xlarge=2; m5a.2xlarge=4; m5a.large=6; m5a.xlarge=0; m5zn.2xlarge=4; m5zn.large=0; m5zn.xlarge=7; r5.2xlarge=6; r5.large=5; r5.xlarge=2; r5a.2xlarge=1; r5a.large=2; r5a.xlarge=0; z1d.2xlarge=8; z1d.large=4; z1d.xlarge=4},{c5.2xlarge=0; c5.xlarge=1; c5a.2xlarge=2; c5a.xlarge=2; d3.2xlarge=1; d3.xlarge=0; i3.2xlarge=2; i3.large=1; i3.xlarge=3; m5.2xlarge=4; m5.large=0; m5.xlarge=1; m5a.2xlarge=4; m5a.large=2; m5a.xlarge=0; m5zn.2xlarge=1; m5zn.large=0; m5zn.xlarge=2; r5.2xlarge=2; r5.large=2; r5.xlarge=1; r5a.2xlarge=1; r5a.large=1; r5a.xlarge=0; z1d.2xlarge=3; z1d.large=2; z1d.xlarge=2}
chipseq,exponential,0.15,40,144,CRITICALPATHREVERSE,503.4599999999999,0, 3, 9, 11, 2, 0, 1, 1, 2, 7, 0, 2, 4, 2, 0, 4, 0, 10, 5, 4, 2, 2, 1, 0, 9, 10, 7,{c5.2xlarge=0; c5.xlarge=3; c5a.2xlarge=9; c5a.xlarge=11; d3.2xlarge=2; d3.xlarge=0; i3.2xlarge=1; i3.large=1; i3.xlarge=2; m5.2xlarge=7; m5.large=0; m5.xlarge=2; m5a.2xlarge=4; m5a.large=2; m5a.xlarge=0; m5zn.2xlarge=4; m5zn.large=0; m5zn.xlarge=10; r5.2xlarge=5; r5.large=4; r5.xlarge=2; r5a.2xlarge=2; r5a.large=1; r5a.xlarge=0; z1d.2xlarge=9; z1d.large=10; z1d.xlarge=7},{c5.2xlarge=0; c5.xlarge=1; c5a.2xlarge=2; c5a.xlarge=2; d3.2xlarge=1; d3.xlarge=0; i3.2xlarge=2; i3.large=1; i3.xlarge=3; m5.2xlarge=4; m5.large=0; m5.xlarge=1; m5a.2xlarge=4; m5a.large=2; m5a.xlarge=0; m5zn.2xlarge=1; m5zn.large=0; m5zn.xlarge=2; r5.2xlarge=2; r5.large=2; r5.xlarge=1; r5a.2xlarge=1; r5a.large=1; r5a.xlarge=0; z1d.2xlarge=3; z1d.large=2; z1d.xlarge=2}
chipseq,exponential,0.15,40,144,RESHIV2,525.1999999999999,0, 5, 8, 10, 2, 0, 2, 1, 6, 8, 0, 3, 5, 2, 0, 4, 0, 7, 4, 8, 1, 1, 2, 0, 7, 8, 4,{c5.2xlarge=0; c5.xlarge=5; c5a.2xlarge=8; c5a.xlarge=10; d3.2xlarge=2; d3.xlarge=0; i3.2xlarge=2; i3.large=1; i3.xlarge=6; m5.2xlarge=8; m5.large=0; m5.xlarge=3; m5a.2xlarge=5; m5a.large=2; m5a.xlarge=0; m5zn.2xlarge=4; m5zn.large=0; m5zn.xlarge=7; r5.2xlarge=4; r5.large=8; r5.xlarge=1; r5a.2xlarge=1; r5a.large=2; r5a.xlarge=0; z1d.2xlarge=7; z1d.large=8; z1d.xlarge=4},{c5.2xlarge=0; c5.xlarge=1; c5a.2xlarge=2; c5a.xlarge=2; d3.2xlarge=1; d3.xlarge=0; i3.2xlarge=2; i3.large=1; i3.xlarge=3; m5.2xlarge=4; m5.large=0; m5.xlarge=1; m5a.2xlarge=4; m5a.large=2; m5a.xlarge=0; m5zn.2xlarge=1; m5zn.large=0; m5zn.xlarge=2; r5.2xlarge=2; r5.large=2; r5.xlarge=1; r5a.2xlarge=1; r5a.large=1; r5a.xlarge=0; z1d.2xlarge=3; z1d.large=2; z1d.xlarge=2}
chipseq,exponential,0.15,40,144,RESHIV3,525.5,0, 5, 8, 10, 3, 0, 2, 1, 6, 9, 0, 3, 1, 2, 0, 4, 0, 7, 4, 8, 2, 2, 1, 0, 7, 8, 5,{c5.2xlarge=0; c5.xlarge=5; c5a.2xlarge=8; c5a.xlarge=10; d3.2xlarge=3; d3.xlarge=0; i3.2xlarge=2; i3.large=1; i3.xlarge=6; m5.2xlarge=9; m5.large=0; m5.xlarge=3; m5a.2xlarge=1; m5a.large=2; m5a.xlarge=0; m5zn.2xlarge=4; m5zn.large=0; m5zn.xlarge=7; r5.2xlarge=4; r5.large=8; r5.xlarge=2; r5a.2xlarge=2; r5a.large=1; r5a.xlarge=0; z1d.2xlarge=7; z1d.large=8; z1d.xlarge=5},{c5.2xlarge=0; c5.xlarge=1; c5a.2xlarge=2; c5a.xlarge=2; d3.2xlarge=1; d3.xlarge=0; i3.2xlarge=2; i3.large=1; i3.xlarge=3; m5.2xlarge=4; m5.large=0; m5.xlarge=1; m5a.2xlarge=4; m5a.large=2; m5a.xlarge=0; m5zn.2xlarge=1; m5zn.large=0; m5zn.xlarge=2; r5.2xlarge=2; r5.large=2; r5.xlarge=1; r5a.2xlarge=1; r5a.large=1; r5a.xlarge=0; z1d.2xlarge=3; z1d.large=2; z1d.xlarge=2}
